# Wireshark / IEEE OUI database for NetScanner
# Format: <MAC prefix>\t<Short Name>\t<Full Vendor Name>
#
00:00:00	Officially	Officially Xerox, but 0:0:0:0:0:0 is more common
00:03:93	Apple	Apple, Inc.
00:03:9F	Cisco	Cisco Systems, Inc
00:03:A0	Cisco	Cisco Systems, Inc
00:03:E3	Cisco	Cisco Systems, Inc
00:03:E4	Cisco	Cisco Systems, Inc
00:03:FD	Cisco	Cisco Systems, Inc
00:03:FE	Cisco	Cisco Systems, Inc
00:03:FF	Microsoft	Microsoft Corporation
00:04:0E	AVM	AVM GmbH
00:04:0F	Asus	Asus Network Technologies, Inc.
00:04:1F	Sony	Sony Interactive Entertainment Inc.
00:04:23	Intel	Intel Corporation
00:04:27	Cisco	Cisco Systems, Inc
00:04:28	Cisco	Cisco Systems, Inc
00:04:3A	Intelligent	Intelligent Telecommunications, Inc.
00:04:3C	SONOS	SONOS Co., Ltd.
00:04:4B	Nvidia	Nvidia
00:04:4D	Cisco	Cisco Systems, Inc
00:04:4E	Cisco	Cisco Systems, Inc
00:04:5A	The	The Linksys Group, Inc.
00:04:6D	Cisco	Cisco Systems, Inc
00:04:6E	Cisco	Cisco Systems, Inc
00:04:7D	Motorola	Motorola Solutions Inc.
00:04:9A	Cisco	Cisco Systems, Inc
00:04:9B	Cisco	Cisco Systems, Inc
00:04:C0	Cisco	Cisco Systems, Inc
00:04:C1	Cisco	Cisco Systems, Inc
00:04:DD	Cisco	Cisco Systems, Inc
00:04:DE	Cisco	Cisco Systems, Inc
00:04:EA	Hewlett	Hewlett Packard
00:05:00	Cisco	Cisco Systems, Inc
00:05:01	Cisco	Cisco Systems, Inc
00:05:02	Apple	Apple, Inc.
00:05:05	Systems	Systems Integration Solutions, Inc.
00:05:31	Cisco	Cisco Systems, Inc
00:05:32	Cisco	Cisco Systems, Inc
00:05:5D	DLink	D-Link Systems, Inc.
00:05:5E	Cisco	Cisco Systems, Inc
00:05:5F	Cisco	Cisco Systems, Inc
00:05:69	VMware	VMware, Inc.
00:05:73	Cisco	Cisco Systems, Inc
00:05:94	HMS	HMS Industrial Networks
00:05:B5	Broadcom	Broadcom Technologies
00:05:FC	Schenck	Schenck Pegasus Corp.
00:06:1B	Notebook	Notebook Development Lab. Lenovo Japan Ltd.
00:06:25	The	The Linksys Group, Inc.
00:06:5B	Dell	Dell Inc.
00:06:89	yLez	yLez Technologies Pte Ltd
00:06:EC	Harris	Harris Corporation
00:07:AB	Samsung	Samsung Electronics Co.,Ltd
00:07:D1	Spectrum	Spectrum Signal Processing Inc.
00:07:E9	Intel	Intel Corporation
00:08:02	Hewlett	Hewlett Packard
00:08:1A	Sanrad	Sanrad Intelligence Storage Communications (2000) Ltd.
00:08:74	Dell	Dell Inc.
00:08:83	Hewlett	Hewlett Packard
00:08:C7	Hewlett	Hewlett Packard
00:08:FB	SonoSite	SonoSite, Inc.
00:09:18	Samsung	Samsung Techwin Co.,Ltd
00:09:47	Aztek	Aztek, Inc.
00:09:58	Intelnet	Intelnet S.A.
00:09:5B	Netgear	Netgear
00:09:91	Intelligent	Intelligent Platforms, LLC.
00:09:BF	Nintendo	Nintendo Co., Ltd.
00:0A:00	MediaTek	MediaTek Inc
00:0A:0E	Invivo	Invivo Research Inc.
00:0A:27	Apple	Apple, Inc.
00:0A:28	Motorola	Motorola
00:0A:57	Hewlett	Hewlett Packard
00:0A:95	Apple	Apple, Inc.
00:0A:EB	TpLink	Tp-Link Technologies Co.,Ltd.
00:0A:F7	Broadcom	Broadcom
00:0B:49	RFLink	RF-Link System Inc.
00:0B:86	Hewlett	Hewlett Packard Enterprise
00:0B:CD	Hewlett	Hewlett Packard
00:0B:DB	Dell	Dell Inc.
00:0B:E5	HIMS	HIMS International Corporation
00:0C:29	VMware	VMware, Inc.
00:0C:41	CiscoLinksys	Cisco-Linksys, LLC
00:0C:43	MediaTek	MediaTek Inc
00:0C:65	Sunin	Sunin Telecom
00:0C:6E	ASUSTek	ASUSTek COMPUTER INC.
00:0C:8A	Bose	Bose Corporation
00:0C:C7	Intelligent	Intelligent Computer Solutions Inc.
00:0C:E7	MediaTek	MediaTek Inc
00:0C:F1	Intel	Intel Corporation
00:0D:3A	Microsoft	Microsoft Corp.
00:0D:4B	Roku	Roku, Inc.
00:0D:56	Dell	Dell Inc.
00:0D:61	GigaByte	Giga-Byte Technology Co., Ltd.
00:0D:88	DLink	D-Link Corporation
00:0D:93	Apple	Apple, Inc.
00:0D:9D	Hewlett	Hewlett Packard
00:0D:AE	Samsung	Samsung Heavy Industries Co., Ltd.
00:0D:B6	Broadcom	Broadcom
00:0D:E5	Samsung	Samsung Thales
00:0E:06	Team	Team Simoco Ltd
00:0E:08	CiscoLinksys	Cisco-Linksys, LLC
00:0E:0C	Intel	Intel Corporation
00:0E:35	Intel	Intel Corporation
00:0E:58	Sonos	Sonos, Inc.
00:0E:59	Sagemcom	Sagemcom Broadband SAS
00:0E:6D	Murata	Murata Manufacturing Co., Ltd.
00:0E:7F	Hewlett	Hewlett Packard
00:0E:8D	Systems	Systems in Progress Holding GmbH
00:0E:A6	ASUSTek	ASUSTek COMPUTER INC.
00:0E:B3	Hewlett	Hewlett Packard
00:0E:C7	Motorola	Motorola Korea
00:0F:1F	Dell	Dell Inc.
00:0F:20	Hewlett	Hewlett Packard
00:0F:3D	DLink	D-Link Corporation
00:0F:61	Hewlett	Hewlett Packard
00:0F:66	CiscoLinksys	Cisco-Linksys, LLC
00:0F:A0	Canon	Canon Korea Inc.
00:0F:B0	Compal	Compal Electronics INC.
00:0F:B5	Netgear	Netgear
00:0F:EA	GigaByte	Giga-Byte Technology Co.,Ltd.
00:10:18	Broadcom	Broadcom
00:10:83	Hewlett	Hewlett Packard
00:10:E3	Hewlett	Hewlett Packard
00:10:E6	Applied	Applied Intelligent Systems, Inc.
00:10:FA	Apple	Apple, Inc.
00:11:0A	Hewlett	Hewlett Packard
00:11:11	Intel	Intel Corporation
00:11:24	Apple	Apple, Inc.
00:11:2F	ASUSTek	ASUSTek COMPUTER INC.
00:11:32	Synology	Synology Incorporated
00:11:43	Dell	Dell Inc.
00:11:50	Belkin	Belkin Corporation
00:11:75	Intel	Intel Corporation
00:11:76	Intellambda	Intellambda Systems, Inc.
00:11:85	Hewlett	Hewlett Packard
00:11:95	DLink	D-Link Corporation
00:11:D8	ASUSTek	ASUSTek COMPUTER INC.
00:12:17	CiscoLinksys	Cisco-Linksys, LLC
00:12:3F	Dell	Dell Inc.
00:12:47	Samsung	Samsung Electronics Co.,Ltd
00:12:48	Dell	Dell EMC
00:12:5A	Microsoft	Microsoft Corporation
00:12:79	Hewlett	Hewlett Packard
00:12:BF	Arcadyan	Arcadyan Corporation
00:12:F0	Intel	Intel Corporate
00:12:FB	Samsung	Samsung Electronics Co.,Ltd
00:12:FE	Lenovo	Lenovo Mobile Communication Technology Ltd.
00:13:02	Intel	Intel Corporate
00:13:10	CiscoLinksys	Cisco-Linksys, LLC
00:13:15	Sony	Sony Interactive Entertainment Inc.
00:13:20	Intel	Intel Corporate
00:13:21	Hewlett	Hewlett Packard
00:13:46	DLink	D-Link Corporation
00:13:52	Naztec	Naztec, Inc.
00:13:72	Dell	Dell Inc.
00:13:74	Atheros	Atheros Communications, Inc.
00:13:77	Samsung	Samsung Electronics Co.,Ltd
00:13:B1	Intelligent	Intelligent Control Systems (Asia) Pte Ltd
00:13:CE	Intel	Intel Corporate
00:13:D4	ASUSTek	ASUSTek COMPUTER INC.
00:13:E0	Murata	Murata Manufacturing Co., Ltd.
00:13:E8	Intel	Intel Corporate
00:13:F3	Gigabyte	Giga-byte Communications Inc.
00:14:22	Dell	Dell Inc.
00:14:38	Hewlett	Hewlett Packard Enterprise
00:14:4D	Intelligent	Intelligent Systems
00:14:51	Apple	Apple, Inc.
00:14:6C	Netgear	Netgear
00:14:78	TpLink	Tp-Link Technologies Co.,Ltd.
00:14:85	GigaByte	Giga-Byte
00:14:A4	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:14:BF	CiscoLinksys	Cisco-Linksys, LLC
00:14:C2	Hewlett	Hewlett Packard
00:15:00	Intel	Intel Corporate
00:15:0C	AVM	AVM GmbH
00:15:17	Intel	Intel Corporate
00:15:1F	Multivision	Multivision Intelligent Surveillance (Hong Kong) Ltd
00:15:30	Dell	Dell EMC
00:15:56	Sagemcom	Sagemcom Broadband SAS
00:15:58	Foxconn	Foxconn
00:15:5D	Microsoft	Microsoft Corporation
00:15:60	Hewlett	Hewlett Packard
00:15:6D	Ubiquiti	Ubiquiti Inc
00:15:99	Samsung	Samsung Electronics Co.,Ltd
00:15:B9	Samsung	Samsung Electronics Co.,Ltd
00:15:C1	Sony	Sony Interactive Entertainment Inc.
00:15:C5	Dell	Dell Inc.
00:15:E9	DLink	D-Link Corporation
00:15:EB	zte	zte corporation
00:15:F2	ASUSTek	ASUSTek COMPUTER INC.
00:16:17	Msi	Msi
00:16:32	Samsung	Samsung Electronics Co.,Ltd
00:16:35	Hewlett	Hewlett Packard
00:16:56	Nintendo	Nintendo Co., Ltd.
00:16:6B	Samsung	Samsung Electronics Co.,Ltd
00:16:6C	Samsung	Samsung Electronics Co.,Ltd
00:16:6F	Intel	Intel Corporate
00:16:76	Intel	Intel Corporate
00:16:B6	CiscoLinksys	Cisco-Linksys, LLC
00:16:CB	Apple	Apple, Inc.
00:16:CE	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:16:CF	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:16:D4	Compal	Compal Communications, Inc.
00:16:DB	Samsung	Samsung Electronics Co.,Ltd
00:16:E6	GigaByte	Giga-Byte Technology Co.,Ltd.
00:16:EA	Intel	Intel Corporate
00:16:EB	Intel	Intel Corporate
00:16:F0	Dell	Dell
00:17:08	Hewlett	Hewlett Packard
00:17:31	ASUSTek	ASUSTek COMPUTER INC.
00:17:35	Intel	Intel Wireless Network Group
00:17:3F	Belkin	Belkin International Inc.
00:17:87	Brother	Brother, Brother & Sons ApS
00:17:88	Philips	Philips Lighting BV
00:17:9A	DLink	D-Link Corporation
00:17:A4	Hewlett	Hewlett Packard
00:17:A5	MediaTek	MediaTek Inc
00:17:AB	Nintendo	Nintendo Co., Ltd.
00:17:C9	Samsung	Samsung Electronics Co.,Ltd
00:17:D5	Samsung	Samsung Electronics Co.,Ltd
00:17:F2	Apple	Apple, Inc.
00:17:F3	Harris	Harris Corporation
00:17:FA	Microsoft	Microsoft Corporation
00:18:15	GZ	GZ Technologies, Inc.
00:18:39	CiscoLinksys	Cisco-Linksys, LLC
00:18:4D	Netgear	Netgear
00:18:71	Hewlett	Hewlett Packard
00:18:82	Huawei	Huawei Technologies Co.,Ltd
00:18:85	Motorola	Motorola Solutions Inc.
00:18:8B	Dell	Dell Inc.
00:18:AF	Samsung	Samsung Electronics Co.,Ltd
00:18:DE	Intel	Intel Corporate
00:18:F3	ASUSTek	ASUSTek COMPUTER INC.
00:18:F8	CiscoLinksys	Cisco-Linksys, LLC
00:18:FE	Hewlett	Hewlett Packard
00:19:00	Intelliverese	Intelliverese - DBA Voicecom
00:19:1D	Nintendo	Nintendo Co., Ltd.
00:19:25	Intelicis	Intelicis Corporation
00:19:4B	Sagemcom	Sagemcom Broadband SAS
00:19:5B	DLink	D-Link Corporation
00:19:7D	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:19:7E	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:19:81	Vivox	Vivox Inc
00:19:B4	Intellio	Intellio Ltd
00:19:B9	Dell	Dell Inc.
00:19:BB	Hewlett	Hewlett Packard
00:19:C5	Sony	Sony Interactive Entertainment Inc.
00:19:C6	zte	zte corporation
00:19:D1	Intel	Intel Corporate
00:19:D2	Intel	Intel Corporate
00:19:E0	TpLink	Tp-Link Technologies Co.,Ltd.
00:19:E3	Apple	Apple, Inc.
00:19:FD	Nintendo	Nintendo Co., Ltd.
00:1A:11	Google	Google, Inc.
00:1A:1E	Hewlett	Hewlett Packard Enterprise
00:1A:2A	Arcadyan	Arcadyan Corporation
00:1A:3F	Intelbras	Intelbras
00:1A:4B	Hewlett	Hewlett Packard
00:1A:4D	GigaByte	Giga-Byte Technology Co.,Ltd.
00:1A:4F	AVM	AVM GmbH
00:1A:70	CiscoLinksys	Cisco-Linksys, LLC
00:1A:83	Pegasus	Pegasus Technologies Inc.
00:1A:8A	Samsung	Samsung Electronics Co.,Ltd
00:1A:92	ASUSTek	ASUSTek COMPUTER INC.
00:1A:A0	Dell	Dell Inc.
00:1A:E7	Aztek	Aztek Networks, Inc.
00:1A:E9	Nintendo	Nintendo Co., Ltd.
00:1A:EE	Shenztech	Shenztech Ltd
00:1B:0A	Intelligent	Intelligent Distributed Controls Ltd
00:1B:11	DLink	D-Link Corporation
00:1B:21	Intel	Intel Corporate
00:1B:2F	Netgear	Netgear
00:1B:38	Compal	Compal Information (Kunshan) Co., Ltd.
00:1B:4E	Navman	Navman New Zealand
00:1B:63	Apple	Apple, Inc.
00:1B:77	Intel	Intel Corporate
00:1B:78	Hewlett	Hewlett Packard
00:1B:7A	Nintendo	Nintendo Co., Ltd.
00:1B:98	Samsung	Samsung Electronics Co.,Ltd
00:1B:A9	Brother	Brother industries, LTD.
00:1B:B2	Intellect	Intellect International NV
00:1B:BF	Sagemcom	Sagemcom Broadband SAS
00:1B:E9	Broadcom	Broadcom
00:1B:EA	Nintendo	Nintendo Co., Ltd.
00:1B:F9	Intellitect	Intellitect Water Ltd
00:1B:FC	ASUSTek	ASUSTek COMPUTER INC.
00:1C:10	CiscoLinksys	Cisco-Linksys, LLC
00:1C:14	VMware	VMware, Inc.
00:1C:23	Dell	Dell Inc.
00:1C:25	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1C:26	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1C:43	Samsung	Samsung Electronics Co.,Ltd
00:1C:4A	AVM	AVM GmbH
00:1C:62	LG	LG Electronics (Mobile Communications)
00:1C:B3	Apple	Apple, Inc.
00:1C:BE	Nintendo	Nintendo Co., Ltd.
00:1C:BF	Intel	Intel Corporate
00:1C:C0	Intel	Intel Corporate
00:1C:C4	Hewlett	Hewlett Packard
00:1C:DF	Belkin	Belkin International Inc.
00:1C:F0	DLink	D-Link Corporation
00:1D:09	Dell	Dell Inc.
00:1D:0D	Sony	Sony Interactive Entertainment Inc.
00:1D:0F	TpLink	Tp-Link Technologies Co.,Ltd.
00:1D:19	Arcadyan	Arcadyan Corporation
00:1D:25	Samsung	Samsung Electronics Co.,Ltd
00:1D:40	Intel	Intel – GE Care Innovations LLC
00:1D:4F	Apple	Apple, Inc.
00:1D:60	ASUSTek	ASUSTek COMPUTER INC.
00:1D:7D	GigaByte	Giga-Byte Technology Co.,Ltd.
00:1D:7E	CiscoLinksys	Cisco-Linksys, LLC
00:1D:94	Climax	Climax Technology Co., Ltd
00:1D:BC	Nintendo	Nintendo Co., Ltd.
00:1D:D8	Microsoft	Microsoft Corporation
00:1D:D9	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1D:E0	Intel	Intel Corporate
00:1D:E1	Intel	Intel Corporate
00:1D:F6	Samsung	Samsung Electronics Co.,Ltd
00:1E:0B	Hewlett	Hewlett Packard
00:1E:10	Huawei	Huawei Technologies Co.,Ltd
00:1E:2A	Netgear	Netgear
00:1E:35	Nintendo	Nintendo Co., Ltd.
00:1E:4C	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1E:4F	Dell	Dell Inc.
00:1E:52	Apple	Apple, Inc.
00:1E:58	DLink	D-Link Corporation
00:1E:73	zte	zte corporation
00:1E:74	Sagemcom	Sagemcom Broadband SAS
00:1E:75	LG	LG Electronics (Mobile Communications)
00:1E:7D	Samsung	Samsung Electronics Co.,Ltd
00:1E:8C	ASUSTek	ASUSTek COMPUTER INC.
00:1E:8F	Canon	Canon Inc.
00:1E:A9	Nintendo	Nintendo Co., Ltd.
00:1E:C2	Apple	Apple, Inc.
00:1E:C9	Dell	Dell Inc.
00:1E:E1	Samsung	Samsung Electronics Co.,Ltd
00:1E:E2	Samsung	Samsung Electronics Co.,Ltd
00:1E:E5	CiscoLinksys	Cisco-Linksys, LLC
00:1E:EC	Compal	Compal Information (Kunshan) Co., Ltd.
00:1F:07	AZTEQ	AZTEQ Mobile
00:1F:29	Hewlett	Hewlett Packard
00:1F:32	Nintendo	Nintendo Co., Ltd.
00:1F:33	Netgear	Netgear
00:1F:3A	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1F:3F	AVM	AVM GmbH
00:1F:59	Kronback	Kronback Tracers
00:1F:5B	Apple	Apple, Inc.
00:1F:6B	LG	LG Electronics (Mobile Communications)
00:1F:92	Motorola	Motorola Solutions Inc.
00:1F:95	Sagemcom	Sagemcom Broadband SAS
00:1F:A7	Sony	Sony Interactive Entertainment Inc.
00:1F:C5	Nintendo	Nintendo Co., Ltd.
00:1F:C6	ASUSTek	ASUSTek COMPUTER INC.
00:1F:CC	Samsung	Samsung Electronics Co.,Ltd
00:1F:CD	Samsung	Samsung Electronics Co.,Ltd
00:1F:CF	MSI	MSI Technology GmbH
00:1F:D0	GigaByte	Giga-Byte Technology Co.,Ltd.
00:1F:E1	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1F:E2	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:1F:E3	LG	LG Electronics (Mobile Communications)
00:1F:F3	Apple	Apple, Inc.
00:20:75	Motorola	Motorola Communication Israel
00:20:ED	GigaByte	Giga-Byte Technology Co., Ltd.
00:21:0D	Samsin	Samsin Innotec
00:21:19	Samsung	Samsung Electro Mechanics Co., Ltd.
00:21:27	TpLink	Tp-Link Technologies Co.,Ltd.
00:21:29	CiscoLinksys	Cisco-Linksys, LLC
00:21:47	Nintendo	Nintendo Co., Ltd.
00:21:4C	Samsung	Samsung Electronics Co.,Ltd
00:21:5A	Hewlett	Hewlett Packard
00:21:70	Dell	Dell Inc.
00:21:91	DLink	D-Link Corporation
00:21:9B	Dell	Dell Inc.
00:21:BD	Nintendo	Nintendo Co., Ltd.
00:21:D1	Samsung	Samsung Electronics Co.,Ltd
00:21:D2	Samsung	Samsung Electronics Co.,Ltd
00:21:E8	Murata	Murata Manufacturing Co., Ltd.
00:21:E9	Apple	Apple, Inc.
00:21:FB	LG	LG Electronics (Mobile Communications)
00:22:15	ASUSTek	ASUSTek COMPUTER INC.
00:22:19	Dell	Dell Inc.
00:22:3F	Netgear	Netgear
00:22:41	Apple	Apple, Inc.
00:22:48	Microsoft	Microsoft Corporation
00:22:4C	Nintendo	Nintendo Co., Ltd.
00:22:64	Hewlett	Hewlett Packard
00:22:68	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:22:69	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:22:6B	CiscoLinksys	Cisco-Linksys, LLC
00:22:75	Belkin	Belkin International Inc.
00:22:93	zte	zte corporation
00:22:A1	Huawei	Huawei Symantec Technologies Co.,Ltd.
00:22:A9	LG	LG Electronics (Mobile Communications)
00:22:AA	Nintendo	Nintendo Co., Ltd.
00:22:B0	DLink	D-Link Corporation
00:22:D7	Nintendo	Nintendo Co., Ltd.
00:22:DE	OPPO	OPPO Digital, Inc.
00:23:08	Arcadyan	Arcadyan Corporation
00:23:12	Apple	Apple, Inc.
00:23:31	Nintendo	Nintendo Co., Ltd.
00:23:32	Apple	Apple, Inc.
00:23:39	Samsung	Samsung Electronics Co.,Ltd
00:23:3A	Samsung	Samsung Electronics Co.,Ltd
00:23:48	Sagemcom	Sagemcom Broadband SAS
00:23:4D	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:23:4E	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:23:54	ASUSTek	ASUSTek COMPUTER INC.
00:23:5A	Compal	Compal Information (Kunshan) Co., Ltd.
00:23:69	CiscoLinksys	Cisco-Linksys, LLC
00:23:6C	Apple	Apple, Inc.
00:23:7D	Hewlett	Hewlett Packard
00:23:99	Samsung	Samsung Electronics Co.,Ltd
00:23:AE	Dell	Dell Inc.
00:23:C2	SAMSUNG	SAMSUNG Electronics. Co. LTD
00:23:CC	Nintendo	Nintendo Co., Ltd.
00:23:CD	TpLink	Tp-Link Technologies Co.,Ltd.
00:23:D6	Samsung	Samsung Electronics Co.,Ltd
00:23:D7	Samsung	Samsung Electronics Co.,Ltd
00:23:DF	Apple	Apple, Inc.
00:24:01	DLink	D-Link Corporation
00:24:1D	GigaByte	Giga-Byte Technology Co.,Ltd.
00:24:1E	Nintendo	Nintendo Co., Ltd.
00:24:2B	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:24:2C	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:24:36	Apple	Apple, Inc.
00:24:37	Motorola	Motorola - BSG
00:24:44	Nintendo	Nintendo Co., Ltd.
00:24:47	Kaztek	Kaztek Systems
00:24:54	Samsung	Samsung Electronics Co.,Ltd
00:24:6C	Hewlett	Hewlett Packard Enterprise
00:24:81	Hewlett	Hewlett Packard
00:24:83	LG	LG Electronics (Mobile Communications)
00:24:8C	ASUSTek	ASUSTek COMPUTER INC.
00:24:8D	Sony	Sony Interactive Entertainment Inc.
00:24:90	Samsung	Samsung Electronics Co.,Ltd
00:24:91	Samsung	Samsung Electronics Co.,Ltd
00:24:92	Motorola	Motorola, Broadband Solutions Group
00:24:B2	Netgear	Netgear
00:24:E8	Dell	Dell Inc.
00:24:E9	Samsung	Samsung Electronics Co.,Ltd
00:24:F3	Nintendo	Nintendo Co., Ltd.
00:24:FE	AVM	AVM GmbH
00:25:00	Apple	Apple, Inc.
00:25:12	zte	zte corporation
00:25:22	ASRock	ASRock Incorporation
00:25:38	Samsung	Samsung Electronics Co., Ltd., Memory Division
00:25:4B	Apple	Apple, Inc.
00:25:56	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:25:64	Dell	Dell Inc.
00:25:66	Samsung	Samsung Electronics Co.,Ltd
00:25:67	Samsung	Samsung Electronics Co.,Ltd
00:25:68	Huawei	Huawei Technologies Co.,Ltd
00:25:69	Sagemcom	Sagemcom Broadband SAS
00:25:86	TpLink	Tp-Link Technologies Co.,Ltd.
00:25:90	Super	Super Micro Computer, Inc.
00:25:9C	CiscoLinksys	Cisco-Linksys, LLC
00:25:9E	Huawei	Huawei Technologies Co.,Ltd
00:25:A0	Nintendo	Nintendo Co., Ltd.
00:25:AE	Microsoft	Microsoft Corporation
00:25:B3	Hewlett	Hewlett Packard
00:25:BC	Apple	Apple, Inc.
00:25:BD	Italdata	Italdata Ingegneria dell'Idea S.p.A.
00:25:E5	LG	LG Electronics (Mobile Communications)
00:26:08	Apple	Apple, Inc.
00:26:18	ASUSTek	ASUSTek COMPUTER INC.
00:26:22	Compal	Compal Information (Kunshan) Co., Ltd.
00:26:37	Samsung	Samsung Electro Mechanics Co., Ltd.
00:26:4A	Apple	Apple, Inc.
00:26:4D	Arcadyan	Arcadyan Corporation
00:26:55	Hewlett	Hewlett Packard
00:26:59	Nintendo	Nintendo Co., Ltd.
00:26:5A	DLink	D-Link Corporation
00:26:5C	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:26:5D	Samsung	Samsung Electronics Co.,Ltd
00:26:5E	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:26:5F	Samsung	Samsung Electronics Co.,Ltd
00:26:75	Aztech	Aztech Electronics Pte Ltd
00:26:91	Sagemcom	Sagemcom Broadband SAS
00:26:AB	Seiko	Seiko Epson Corporation
00:26:B0	Apple	Apple, Inc.
00:26:B9	Dell	Dell Inc.
00:26:BB	Apple	Apple, Inc.
00:26:E2	LG	LG Electronics (Mobile Communications)
00:26:E8	Murata	Murata Manufacturing Co., Ltd.
00:26:ED	zte	zte corporation
00:26:F2	Netgear	Netgear
00:27:09	Nintendo	Nintendo Co., Ltd.
00:27:19	TpLink	Tp-Link Technologies Co.,Ltd.
00:27:22	Ubiquiti	Ubiquiti Inc
00:2B:70	Samsung	Samsung Electronics Co.,Ltd
00:2E:C7	Huawei	Huawei Technologies Co.,Ltd
00:30:0A	Aztech	Aztech Electronics Pte Ltd
00:30:11	HMS	HMS Industrial Networks
00:30:48	Super	Super Micro Computer, Inc.
00:30:56	HMS	HMS Industrial Networks
00:30:65	Apple	Apple, Inc.
00:30:6E	Hewlett	Hewlett Packard
00:30:BD	Belkin	Belkin Components
00:30:C1	Hewlett	Hewlett Packard
00:30:C4	Canon	Canon Imaging Systems Inc.
00:31:92	TPLink	TP-Link Systems Inc
00:33:7A	Tuya	Tuya Smart Inc.
00:34:DA	LG	LG Electronics (Mobile Communications)
00:34:FE	Huawei	Huawei Technologies Co.,Ltd
00:37:6D	Murata	Murata Manufacturing Co., Ltd.
00:37:B7	Sagemcom	Sagemcom Broadband SAS
00:3D:E1	Huawei	Huawei Device Co., Ltd.
00:3D:E8	LG	LG Electronics (Mobile Communications)
00:3E:C4	Huawei	Huawei Device Co., Ltd.
00:3E:E1	Apple	Apple, Inc.
00:40:2D	Harris	Harris Adacom Corporation
